state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate
Ekiti,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,111,79,71.63,4.05,63.69,79.56,Report,71.6% (95% CI 63.7-79.6%),71.63,63.69,79.56,71.6% (95% CI 63.7-79.6%)
Ekiti,south west,complete_continuum,Complete continuum,87,47,55.75,4.32,47.28,64.22,Report,55.8% (95% CI 47.3-64.2%),55.75,47.28,64.22,55.8% (95% CI 47.3-64.2%)
Enugu,south east,anc_4plus,Four or more ANC contacts,123,99,78.61,4.09,70.6,86.62,Report,78.6% (95% CI 70.6-86.6%),78.61,70.6,86.62,78.6% (95% CI 70.6-86.6%)
Enugu,south east,anc_8plus,Eight or more ANC contacts,123,45,37.75,4.1,29.71,45.79,Report,37.8% (95% CI 29.7-45.8%),37.75,29.71,45.79,37.8% (95% CI 29.7-45.8%)
Enugu,south east,skilled_birth,Skilled birth attendance,156,152,96.7,1.57,93.63,99.77,Report,96.7% (95% CI 93.6-99.8%),96.7,93.63,99.77,96.7% (95% CI 93.6-99.8%)
Enugu,south east,facility_delivery,Health facility delivery,155,146,93.63,2.33,89.06,98.2,Report,93.6% (95% CI 89.1-98.2%),93.63,89.06,98.2,93.6% (95% CI 89.1-98.2%)
Enugu,south east,mother_pnc_2days,Maternal PNC within 2 days,156,106,65.79,5.6,54.82,76.76,Report,65.8% (95% CI 54.8-76.8%),65.79,54.82,76.76,65.8% (95% CI 54.8-76.8%)
Enugu,south east,newborn_pnc_2days,Newborn PNC within 2 days,156,102,62.51,6.19,50.38,74.64,Report,62.5% (95% CI 50.4-74.6%),62.51,50.38,74.64,62.5% (95% CI 50.4-74.6%)
Enugu,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,156,96,59.46,5.96,47.78,71.15,Report,59.5% (95% CI 47.8-71.2%),59.46,47.78,71.15,59.5% (95% CI 47.8-71.2%)
Enugu,south east,complete_continuum,Complete continuum,123,64,48.97,5.79,37.62,60.32,Report,49.0% (95% CI 37.6-60.3%),48.97,37.62,60.32,49.0% (95% CI 37.6-60.3%)
Federal Capital Territory,north central,anc_4plus,Four or more ANC contacts,161,129,82.97,3,77.09,88.84,Report,83.0% (95% CI 77.1-88.8%),82.97,77.09,88.84,83.0% (95% CI 77.1-88.8%)
Federal Capital Territory,north central,anc_8plus,Eight or more ANC contacts,161,50,30.41,4.69,21.22,39.6,Report,30.4% (95% CI 21.2-39.6%),30.41,21.22,39.6,30.4% (95% CI 21.2-39.6%)
Federal Capital Territory,north central,skilled_birth,Skilled birth attendance,167,138,82.58,3.95,74.84,90.31,Report,82.6% (95% CI 74.8-90.3%),82.58,74.84,90.31,82.6% (95% CI 74.8-90.3%)
Federal Capital Territory,north central,facility_delivery,Health facility delivery,165,135,82.37,5.18,72.21,92.53,Report,82.4% (95% CI 72.2-92.5%),82.37,72.21,92.53,82.4% (95% CI 72.2-92.5%)
Federal Capital Territory,north central,mother_pnc_2days,Maternal PNC within 2 days,167,136,82.27,4.58,73.3,91.24,Report,82.3% (95% CI 73.3-91.2%),82.27,73.3,91.24,82.3% (95% CI 73.3-91.2%)
Federal Capital Territory,north central,newborn_pnc_2days,Newborn PNC within 2 days,167,143,86.71,4.21,78.47,94.96,Report,86.7% (95% CI 78.5-95.0%),86.71,78.47,94.96,86.7% (95% CI 78.5-95.0%)
Federal Capital Territory,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,167,134,80.29,4.49,71.49,89.08,Report,80.3% (95% CI 71.5-89.1%),80.29,71.49,89.08,80.3% (95% CI 71.5-89.1%)
Federal Capital Territory,north central,complete_continuum,Complete continuum,161,100,62.97,4.45,54.26,71.68,Report,63.0% (95% CI 54.3-71.7%),62.97,54.26,71.68,63.0% (95% CI 54.3-71.7%)
Gombe,north east,anc_4plus,Four or more ANC contacts,391,143,39.1,5.13,29.06,49.15,Report,39.1% (95% CI 29.1-49.1%),39.1,29.06,49.15,39.1% (95% CI 29.1-49.1%)
Gombe,north east,anc_8plus,Eight or more ANC contacts,391,4,1.1,0.57,-0.02,2.21,Report,1.1% (95% CI -0.0-2.2%),1.1,-0.02,2.21,1.1% (95% CI -0.0-2.2%)
Gombe,north east,skilled_birth,Skilled birth attendance,391,133,36.42,4.09,28.41,44.44,Report,36.4% (95% CI 28.4-44.4%),36.42,28.41,44.44,36.4% (95% CI 28.4-44.4%)
Gombe,north east,facility_delivery,Health facility delivery,391,173,47.16,5.33,36.72,57.61,Report,47.2% (95% CI 36.7-57.6%),47.16,36.72,57.61,47.2% (95% CI 36.7-57.6%)
Gombe,north east,mother_pnc_2days,Maternal PNC within 2 days,391,164,44.92,4.69,35.72,54.12,Report,44.9% (95% CI 35.7-54.1%),44.92,35.72,54.12,44.9% (95% CI 35.7-54.1%)
Gombe,north east,newborn_pnc_2days,Newborn PNC within 2 days,391,170,46.49,4.84,37.02,55.97,Report,46.5% (95% CI 37.0-56.0%),46.49,37.02,55.97,46.5% (95% CI 37.0-56.0%)
Gombe,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,391,155,42.21,4.79,32.83,51.59,Report,42.2% (95% CI 32.8-51.6%),42.21,32.83,51.59,42.2% (95% CI 32.8-51.6%)
Gombe,north east,complete_continuum,Complete continuum,391,66,17.73,3.2,11.45,24,Report,17.7% (95% CI 11.4-24.0%),17.73,11.45,24,17.7% (95% CI 11.4-24.0%)
Imo,south east,anc_4plus,Four or more ANC contacts,230,201,87.33,1.95,83.51,91.16,Report,87.3% (95% CI 83.5-91.2%),87.33,83.51,91.16,87.3% (95% CI 83.5-91.2%)
Imo,south east,anc_8plus,Eight or more ANC contacts,230,113,49.17,2.71,43.86,54.47,Report,49.2% (95% CI 43.9-54.5%),49.17,43.86,54.47,49.2% (95% CI 43.9-54.5%)
